"module","module_size","overlap","p","FDR","genes"
"142","177","1","0.58072","1.0000","KIAA1462"
"219","851","4","0.60014","1.0000","NT5C2;HIP1;ARHGAP26;MCL1"
"84","413","2","0.60119","1.0000","KSR2;COL4A4"
"181","189","1","0.60478","1.0000","HNF1A"
"185","202","1","0.62931","1.0000","PROCR"
"71","205","1","0.63475","1.0000","UBTF"
"61","209","1","0.64188","1.0000","OSM"
"176","689","3","0.65726","1.0000","VAMP8;LPA;LY86"
"202","459","2","0.65852","1.0000","CUX2;GGCX"
"66","225","1","0.66906","1.0000","CKM"
"200","708","3","0.67526","1.0000","CYP17A1;PHACTR1;IL6R"
"69","499","2","0.70288","1.0000","NME7;GGCX"
"57","256","1","0.71601","1.0000","SLC22A4"
"148","277","1","0.74399","1.0000","VAMP8"
"110","283","1","0.75147","1.0000","SARS"
"167","2051","8","0.79146","1.0000","CKM;PPP2R3A;POM121L9P;LRRC2;ATP1B1;COL4A4;BCAS3;PROCR"
"187","320","1","0.79303","1.0000","DHX38"
"198","1593","6","0.79593","1.0000","NGF;PEMT;OAZ2;PODXL;SARS;CXCL12"
"135","1369","5","0.80355","1.0000","DHX38;DYNC2LI1;ANKS1A;POM121L9P;C3orf38"
"103","334","1","0.80689","1.0000","COG5"
"102","1676","6","0.83355","1.0000","LIPA;DCPS;BMP1;POM121L9P;FES;NOA1"
"30","372","1","0.84002","1.0000","PMAIP1"
"201","416","1","0.87139","1.0000","ATXN2"
"174","439","1","0.88527","1.0000","SNX10"
"175","567","1","0.93934","1.0000","CNNM2"
"141","643","1","0.95851","1.0000","RND3"
"121","1040","2","0.96467","1.0000","SORT1;LY86"
