"module","module_size","overlap","p","FDR","genes"
"28","681","38","0.00030577","0.0031133","SSPN;CDH13;ADAM23;VLDLR;MFGE8;RCAN2;PODXL;CEP68;COL5A1;CXCL12;ADAMTS3;NTRK2;JAG1;TCF21;LAMA2;ANXA2;ITGB6;MRAS;NEGR1;LPL;EBF1;PDZRN4;NOV;COL16A1;IGF2BP2;ROR2;FAIM2;BACE2;F3;GALNT10;AK5;VIM;ATP8B2;COL4A4;TUB;LMOD1;PRKD1;WNT7B"
"12","57","8","0.00032341","0.0031497","KCTD10;GNB1;NOTCH2;NAV1;NID2;PLEKHA7;SH2B3;SYNE3"
"156","73","9","0.00037634","0.0034808","BACE2;CAMK1D;GALNT10;FN1;ATP8B2;COL5A1;HUNK;C3;NOV"
"116","278","20","0.00038848","0.0034808","ADCY5;CEBPA;PCK1;MYEOV;RASD1;DGAT2;EPB41L4B;DGKI;NTRK2;LPL;LEP;PPARG;F3;GPAM;KANK2;COL4A1;MYO16;BANK1;ADM;GIPR"
"171","200","16","0.00045939","0.0039578","ADCY5;ADAMTS7;ADCY3;SLC22A17;PHC1;KANK2;COL4A2;COL4A1;PHLDB1;ANXA11;PLXND1;ZMIZ1;GPSM1;NT5DC2;DSCAML1;ZNF423"
"39","182","15","0.00050060","0.0041531","CDH13;SOST;ETV5;MFGE8;FN1;CAMK1D;ALCAM;GALNT10;CPNE4;IGFBP2;OBFC1;ABHD2;PDGFD;FADS2;GAS6"
"168","701","38","0.00053106","0.0042485","RASGRP1;AUTS2;HLA-B;SKAP1;HOXC4;SLC4A7;STXBP6;PDGFD;IKZF1;NCAM1;NLRC3;KLF12;LPAL2;MSC;FAM60A;MAP3K4;ACAA2;RABEP1;ZNF101;CADM1;TGFBR3;LAMA2;RCAN2;KLHL32;RAB3GAP1;REST;BAZ1B;TP53BP1;GATA6;NCK1;TNFAIP8;LRIG1;BNC2;AK5;ELOVL4;PLEKHA1;CTCF;BCL2"
"66","225","17","0.00059668","0.0046089","KCNJ12;KCNJ11;SBK1;ATP2A1;PACSIN3;CKM;PRKAG3;SEMA6C;YIPF7;ANK1;PAX7;CAPN3;DUSP26;ACHE;NXN;RBM38;GMPR"
"7","634","35","0.00062876","0.0046948","HP;FAM120A;OSBPL1A;IFNGR1;CDC123;CPPED1;PXK;DPYD;TMEM18;ETS2;MARCKS;ATG7;LMBRD1;FLT1;C10orf35;ACSS2;UBE2R2;IL6R;RAB3D;ACAP2;HMGCR;ABHD2;DMXL2;KCNJ2;CAPZA1;BMP2;SYK;CMTM6;SNX10;NOTCH2;SPAG17;PTEN;TLR4;SYN2;TRIB1"
"191","169","14","0.00072288","0.0052234","YWHAZ;AKAP6;MTHFD1L;BMP2;TSC22D2;PRMT7;KBTBD8;BMPR1A;NPR3;SACS;BDNF;CNNM2;PRDM8;NT5C2"
