"target_tissue","target_clust","target_gene_symbol","endocrine","source_tissue","source_clust","cor","p","key_driver_FDR"
"LIV",98,"DHCR24","EPDR1","VAF",78,0.182009552450405,4.02151027390265e-05,NA
"LIV",98,"NEK8","EPDR1","VAF",78,0.180637703528605,4.60599597128477e-05,NA
"LIV",98,"LSS","EPDR1","VAF",78,0.18034858873217,4.73902051758206e-05,2.15988612570114e-11
"LIV",98,"TLCD1","EPDR1","VAF",78,0.172115801761651,0.000104654218854279,NA
"LIV",98,"C2orf82","EPDR1","VAF",78,0.172014914661533,0.000105651864599601,NA
"LIV",98,"TMEM97","EPDR1","VAF",78,0.17088167705497,0.000117490308877263,NA
"LIV",98,"EBP","EPDR1","VAF",78,0.168175827895511,0.00015099352353917,1.31030044084685e-32
"LIV",98,"SC5D","EPDR1","VAF",78,0.167247157175881,0.00016442641632684,NA
"LIV",98,"ACLY","EPDR1","VAF",78,0.162541034048179,0.000251510005328967,1.2441778011513e-18
"LIV",98,"RP5-821D11.7","EPDR1","VAF",78,0.156492086699808,0.000427098775074756,NA
"LIV",98,"RP4-639F20.1","EPDR1","VAF",78,0.156381718445769,0.000431170201323195,NA
"LIV",98,"CETN2","EPDR1","VAF",78,0.151118169955946,0.000673015462253005,NA
"LIV",98,"TM7SF2","EPDR1","VAF",78,0.150585334933454,0.00070349346585516,NA
"LIV",98,"IDI2-AS1","EPDR1","VAF",78,0.141484106418017,0.00146625750255113,NA
"LIV",98,"AP001469.5","EPDR1","VAF",78,0.138214257829113,0.00188974019278104,NA
"LIV",98,"SNAI3-AS1","EPDR1","VAF",78,0.136779502098029,0.00210874287507705,NA
"LIV",98,"CYP51A1P2","EPDR1","VAF",78,0.13399680396155,0.00260089582621708,NA
"LIV",98,"FLVCR1","EPDR1","VAF",78,0.128142845006,0.00399355212738535,NA
"LIV",98,"AK7","EPDR1","VAF",78,0.11824105225824,0.00794046885765044,NA
"LIV",98,"MRPS27","EPDR1","VAF",78,0.11456858701225,0.0101234073628258,NA
"LIV",98,"NPC1","EPDR1","VAF",78,0.10933833288709,0.0141488544348818,NA
"LIV",98,"PGD","EPDR1","VAF",78,0.108167757051599,0.0152226174378603,NA
"LIV",98,"AACS","EPDR1","VAF",78,0.10290258513353,0.0209850679966976,NA
"LIV",98,"TMEM55B","EPDR1","VAF",78,0.0957984700425728,0.0317032025999001,NA
"LIV",98,"AC144652.1","EPDR1","VAF",78,0.0778586587905663,0.0810733115237244,NA
"LIV",98,"TKT","EPDR1","VAF",78,0.0773849691380743,0.0829452945403288,NA
"LIV",98,"RAB5B","EPDR1","VAF",78,0.0367244424383013,0.411150058823315,NA
